   1. kazakhstan         Avg Rank: 7.27  Avg Pts: 65.6  GF: 96.6  GA: 84.3  Title%: 17.9%
   2. switzerland        Avg Rank: 8.15  Avg Pts: 65.4  GF: 92.5  GA: 83.6  Title%: 16.7%
   3. mongolia           Avg Rank: 9.46  Avg Pts: 64.6  GF: 105.7  GA: 91.6  Title%: 9.0%
   4. oman               Avg Rank: 10.02  Avg Pts: 64.4  GF: 107.2  GA: 97.5  Title%: 5.7%
   5. saudi_arabia       Avg Rank: 10.11  Avg Pts: 64.6  GF: 97.2  GA: 90.0  Title%: 8.1%
   6. vietnam            Avg Rank: 10.13  Avg Pts: 64.4  GF: 108.6  GA: 98.4  Title%: 5.9%
   7. ethiopia           Avg Rank: 11.22  Avg Pts: 63.9  GF: 108.9  GA: 95.1  Title%: 4.2%
   8. iceland            Avg Rank: 11.47  Avg Pts: 64.1  GF: 104.3  GA: 99.8  Title%: 4.4%
   9. singapore          Avg Rank: 12.93  Avg Pts: 63.5  GF: 110.2  GA: 100.3  Title%: 2.5%
  10. uae                Avg Rank: 13.26  Avg Pts: 63.7  GF: 98.2  GA: 97.9  Title%: 2.9%
  11. serbia             Avg Rank: 13.55  Avg Pts: 63.6  GF: 105.4  GA: 105.3  Title%: 2.8%
  12. philippines        Avg Rank: 14.19  Avg Pts: 63.4  GF: 96.3  GA: 95.4  Title%: 2.0%
  13. peru               Avg Rank: 14.29  Avg Pts: 63.6  GF: 91.0  GA: 103.3  Title%: 2.6%
  14. guatemala          Avg Rank: 14.64  Avg Pts: 63.4  GF: 99.3  GA: 104.5  Title%: 1.6%
  15. germany            Avg Rank: 14.67  Avg Pts: 63.3  GF: 105.4  GA: 108.1  Title%: 1.5%
  16. rwanda             Avg Rank: 14.86  Avg Pts: 63.1  GF: 103.3  GA: 90.2  Title%: 4.2%
  17. morocco            Avg Rank: 15.71  Avg Pts: 63.0  GF: 102.6  GA: 103.2  Title%: 0.8%
  18. south_korea        Avg Rank: 15.96  Avg Pts: 63.0  GF: 101.3  GA: 103.8  Title%: 1.5%
  19. brazil             Avg Rank: 16.24  Avg Pts: 63.0  GF: 102.3  GA: 109.0  Title%: 1.0%
  20. uk                 Avg Rank: 16.49  Avg Pts: 62.8  GF: 106.0  GA: 105.6  Title%: 0.4%
  21. usa                Avg Rank: 16.63  Avg Pts: 62.8  GF: 105.9  GA: 108.9  Title%: 0.7%
  22. thailand           Avg Rank: 17.76  Avg Pts: 62.8  GF: 93.5  GA: 111.9  Title%: 0.7%
  23. pakistan           Avg Rank: 18.34  Avg Pts: 62.5  GF: 106.3  GA: 117.2  Title%: 0.4%
  24. india              Avg Rank: 20.59  Avg Pts: 61.7  GF: 96.3  GA: 99.8  Title%: 0.7%
  25. new_zealand        Avg Rank: 20.80  Avg Pts: 61.7  GF: 97.8  GA: 103.4  Title%: 0.4%
  26. france             Avg Rank: 21.03  Avg Pts: 61.6  GF: 100.8  GA: 102.1  Title%: 0.5%
  27. canada             Avg Rank: 23.73  Avg Pts: 60.5  GF: 98.5  GA: 96.0  Title%: 0.4%
  28. netherlands        Avg Rank: 26.35  Avg Pts: 59.8  GF: 92.0  GA: 99.5  Title%: 0.1%
  29. mexico             Avg Rank: 26.70  Avg Pts: 59.6  GF: 97.9  GA: 101.2  Title%: 0.1%
  30. indonesia          Avg Rank: 26.83  Avg Pts: 59.3  GF: 92.0  GA: 91.7  Title%: 0.1%
  31. panama             Avg Rank: 26.93  Avg Pts: 59.7  GF: 91.5  GA: 104.1  Title%: 0.1%
  32. china              Avg Rank: 27.71  Avg Pts: 59.4  GF: 90.8  GA: 102.9  Title%: 0.1%
